"","week","age_group","total_vaccinated","perc_doses"
"157",2021-07-18,"18-49 years",128379,0.00995912135940971
"158",2021-07-18,"50-64 years",37627,0.00615598510731623
"159",2021-07-18,"65-74 years",9990,0.00323500724719341
"160",2021-07-18,"75+ years",5088,0.00246699760379282
"161",2021-07-25,"0-17 years",39812,0.0144889402278445
"162",2021-07-25,"18-49 years",111953,0.00868485899991428
"163",2021-07-25,"50-64 years",33202,0.00543203065705779
"164",2021-07-25,"65-74 years",9139,0.00295943255576583
"165",2021-07-25,"75+ years",4680,0.00226917232424339
"166",2021-08-01,"0-17 years",46494,0.0169207471856074
"167",2021-08-01,"18-49 years",112263,0.00870890754073028
"168",2021-08-01,"50-64 years",33198,0.00543137623495586
"169",2021-08-01,"65-74 years",8906,0.00288398143578624
"170",2021-08-01,"75+ years",4615,0.00223765604196223
"171",2021-08-08,"0-17 years",54364,0.0197849077299945
"172",2021-08-08,"18-49 years",128104,0.00993778797642778
"173",2021-08-08,"50-64 years",39289,0.00642789749066753
"174",2021-08-08,"65-74 years",10373,0.00335903204956329
"175",2021-08-08,"75+ years",5326,0.00258239568352998
"176",2021-08-15,"0-17 years",60687,0.0220860623833819
"177",2021-08-15,"18-49 years",154086,0.0119533660005609
"178",2021-08-15,"50-64 years",45917,0.00751227491356311
"179",2021-08-15,"65-74 years",12795,0.00414333510789186
"180",2021-08-15,"75+ years",6785,0.00328981500427167
"181",2021-08-22,"0-17 years",69712,0.0253705666925424
"182",2021-08-22,"18-49 years",172806,0.0134055875620947
"183",2021-08-22,"50-64 years",48694,0.00796660745782699
"184",2021-08-22,"65-74 years",13668,0.00442603393940336
"185",2021-08-22,"75+ years",7315,0.00354679392133342
"186",2021-08-29,"0-17 years",64838,0.023596752398598
"187",2021-08-29,"18-49 years",171387,0.0132955073059079
"188",2021-08-29,"50-64 years",46341,0.00758164365636753
"189",2021-08-29,"65-74 years",12962,0.00419741380761972
"190",2021-08-29,"75+ years",7083,0.00343430503688375
"191",2021-09-05,"0-17 years",50062,0.0182192636814617
"192",2021-09-05,"18-49 years",160005,0.0124125379782702
"193",2021-09-05,"50-64 years",40830,0.0066800136054355
"194",2021-09-05,"65-74 years",10733,0.00347560888729999
"195",2021-09-05,"75+ years",5859,0.00284082919823548
"196",2021-09-12,"0-17 years",44879,0.0163329937829156
"197",2021-09-12,"18-49 years",178739,0.0138658456029376
"198",2021-09-12,"50-64 years",43610,0.00713483696627583
"199",2021-09-12,"65-74 years",11429,0.00370099077359094
"200",2021-09-12,"75+ years",6150,0.00298192516967882
"201",2021-09-19,"0-17 years",37289,0.0135707347572615
"202",2021-09-19,"18-49 years",151122,0.0117234309199847
"203",2021-09-19,"50-64 years",36169,0.00591744825116328
"204",2021-09-19,"65-74 years",10964,0.00355041235818104
"205",2021-09-19,"75+ years",5968,0.00289367957929157
"206",2021-09-26,"0-17 years",28339,0.0103135254977616
